"ID","age","value"
"1.1.1.1","16 to 19",1
"1.1.1.1","20 to 24",11
"1.1.1.1","25 to 34",134
"1.1.1.1","35 to 44",289
"1.1.1.1","45 to 54",518
"1.1.1.1","55 to 64",487
"1.1.1.1","65+",163
"1.1.1.10","16 to 19",0
"1.1.1.10","20 to 24",0
"1.1.1.10","25 to 34",2
"1.1.1.10","35 to 44",2
"1.1.1.10","45 to 54",9
"1.1.1.10","55 to 64",4
"1.1.1.10","65+",0
"1.1.1.11","16 to 19",0
"1.1.1.11","20 to 24",5
"1.1.1.11","25 to 34",30
"1.1.1.11","35 to 44",72
"1.1.1.11","45 to 54",80
"1.1.1.11","55 to 64",39
"1.1.1.11","65+",10
"1.1.1.12","16 to 19",0
"1.1.1.12","20 to 24",2
"1.1.1.12","25 to 34",8
"1.1.1.12","35 to 44",14
"1.1.1.12","45 to 54",8
"1.1.1.12","55 to 64",6
"1.1.1.12","65+",0
"1.1.1.13","16 to 19",0
"1.1.1.13","20 to 24",5
"1.1.1.13","25 to 34",39
"1.1.1.13","35 to 44",70
"1.1.1.13","45 to 54",88
"1.1.1.13","55 to 64",63
"1.1.1.13","65+",8
"1.1.1.14","16 to 19",0
"1.1.1.14","20 to 24",5
"1.1.1.14","25 to 34",35
"1.1.1.14","35 to 44",51
"1.1.1.14","45 to 54",49
"1.1.1.14","55 to 64",44
"1.1.1.14","65+",9
"1.1.1.15","16 to 19",1
"1.1.1.15","20 to 24",11
"1.1.1.15","25 to 34",59
"1.1.1.15","35 to 44",74
"1.1.1.15","45 to 54",64
"1.1.1.15","55 to 64",41
"1.1.1.15","65+",10
"1.1.1.16","16 to 19",5
"1.1.1.16","20 to 24",24
"1.1.1.16","25 to 34",99
"1.1.1.16","35 to 44",123
"1.1.1.16","45 to 54",182
"1.1.1.16","55 to 64",237
"1.1.1.16","65+",271
"1.1.1.17","16 to 19",1
"1.1.1.17","20 to 24",14
"1.1.1.17","25 to 34",123
"1.1.1.17","35 to 44",198
"1.1.1.17","45 to 54",200
"1.1.1.17","55 to 64",142
"1.1.1.17","65+",33
"1.1.1.18","16 to 19",1
"1.1.1.18","20 to 24",17
"1.1.1.18","25 to 34",133
"1.1.1.18","35 to 44",236
"1.1.1.18","45 to 54",226
"1.1.1.18","55 to 64",187
"1.1.1.18","65+",38
"1.1.1.19","16 to 19",0
"1.1.1.19","20 to 24",0
"1.1.1.19","25 to 34",16
"1.1.1.19","35 to 44",26
"1.1.1.19","45 to 54",48
"1.1.1.19","55 to 64",29
"1.1.1.19","65+",2
"1.1.1.2","16 to 19",0
"1.1.1.2","20 to 24",25
"1.1.1.2","25 to 34",177
